SaanichInlet_10m.300	d__Archaea;p__Nanoarchaeota;c__Woesearchaeia;o__SCGC-AAA011-G17;f__GW2011-AR17;g__;s__
SaanichInlet_10m.15	d__Archaea;p__Nanoarchaeota;c__Woesearchaeia;o__SCGC-AAA011-G17;f__;g__;s__
SaanichInlet_10m.394	d__Archaea;p__Nanoarchaeota;c__Woesearchaeia;o__;f__;g__;s__
SaanichInlet_10m.303	d__Archaea;p__Nanoarchaeota;c__Woesearchaeia;o__UBA12501;f__;g__;s__
SaanichInlet_10m.308	d__Archaea;p__Nanoarchaeota;c__Woesearchaeia;o__;f__;g__;s__
SaanichInlet_10m.178	d__Archaea;p__Nanoarchaeota;c__Woesearchaeia;o__GW2011-AR9;f__GW2011-AR9;g__;s__
SaanichInlet_10m.225	d__Archaea;p__Nanoarchaeota;c__Woesearchaeia;o__GW2011-AR9;f__GW2011-AR9;g__;s__
SaanichInlet_10m.321	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__
SaanichInlet_10m.199	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopelagicus;s__
SaanichInlet_10m.107	d__Archaea;p__Thermoplasmatota;c__MGII;o__MGII;f__MGIIA;g__UBA618;s__
SaanichInlet_10m.341	d__Archaea;p__Thermoplasmatota;c__MGII;o__MGII;f__MGIIA;g__UBA253;s__
SaanichInlet_10m.35	d__Archaea;p__Thermoplasmatota;c__MGII;o__MGII;f__MGIIA;g__UBA562;s__
SaanichInlet_10m.226	d__Archaea;p__Thermoplasmatota;c__MGII;o__MGII;f__MGIIA;g__UBA562;s__
SaanichInlet_10m.340	d__Archaea;p__Thermoplasmatota;c__MGII;o__MGII;f__MGIIA;g__UBA562;s__
SaanichInlet_10m.46	d__Archaea;p__Thermoplasmatota;c__MGII;o__MGII;f__MGIIA;g__UBA562;s__
SaanichInlet_10m.7	d__Archaea;p__Thermoplasmatota;c__MGII;o__MGII;f__MGIIA;g__UBA562;s__
SaanichInlet_10m.275	d__Archaea;p__Thermoplasmatota;c__MGII;o__MGII;f__MGIIA;g__UBA120;s__
SaanichInlet_10m.38	d__Archaea;p__Thermoplasmatota;c__MGII;o__MGII;f__MGIIB;g__UBA557;s__
